x,y
6.084584807,4.609242887
6.528718779,4.600779471
6.978443825,4.593746089
7.426119727,4.588549671
7.868738472,4.585439610
8.310175594,4.584170598
8.754153223,4.584317619
9.196296565,4.585453441
9.571179444,4.587311995
9.942355187,4.590088011
10.316300611,4.593447146
10.691894697,4.596993260
11.068052175,4.600377539
11.445985197,4.603703100
11.826349448,4.607178917
12.207122239,4.610634505
12.585993347,4.613856644
12.960801990,4.616640104
13.330959091,4.618880662
13.697751603,4.620700256
14.062179087,4.622274640
14.425416252,4.623781396
14.796230042,4.625322654
15.240123671,4.626355358
15.690574569,4.626872788
16.139475845,4.628842646
16.586750251,4.633941542
17.034560952,4.639528760
17.481923408,4.646175973
17.923714529,4.660956845
18.355374363,4.690893743
18.780986608,4.736096708
19.200331924,4.794142028
19.601894715,4.867962067
19.983307414,4.966518720
20.420800341,5.139740008
20.821058479,5.342697864
21.171730675,5.513647646
21.543494203,5.674292013
21.801014550,5.647481976
21.941185833,5.402053354
22.010477361,5.018101553
21.946103772,4.593455451
21.810405299,4.288856372
21.617626687,3.971072866
21.372003174,3.642251471
21.077313284,3.322475407
20.741326426,3.034460946
20.400837497,2.812930332
20.014383165,2.612471223
19.594813778,2.423140865
19.161782303,2.239704628
18.735036406,2.057094200
18.330657593,1.871250378
17.931688305,1.687166627
17.521899941,1.509119085
17.118602008,1.331840133
16.742812555,1.149011346
16.415401749,0.953935573
16.148709345,0.727993202
15.890977986,0.362304654
15.732991523,-0.054149398
15.680547850,-0.460287385
15.730781292,-0.804339256
15.898637161,-1.076151098
16.178739910,-1.297521916
16.533597710,-1.470628332
16.919932961,-1.593926050
17.283187307,-1.657255489
17.687931178,-1.683375332
18.111664181,-1.680599655
18.521573398,-1.655241850
18.902206776,-1.610817071
19.379799681,-1.528017743
